Source,Element,Concentration (mg/L),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96
https://doi.org/10.1016/j.apgeochem.2015.03.001,K,7.31,1.6,1.3,2.91,2.26,6.8,3.16,1.45,4.16,4.81,4.14,4.86,4.7,3.18,5.44,7.62,6.82,4.1,2.18,2.74,3.1,2.74,19.4,22.4,3.14,5.76,3.14,2.16,2.79,1.84,1.41,8.86,3.83,5.59,4.4,4.44,4.44,4.71,54.6,4.8,5.56,4.42,1.71,7.8,2.8,11.8,11.2,2.32,7.56,1.52,1.36,3.06,2.78,7.7,3.11,1.42,8.84,9.26,4.74,4.86,3.01,5.59,4.66,3.85,2.24,2.94,3.88,3.3,31.4,23.1,3.34,5.56,3.51,3.46,5.34,1.82,2.42,7.42,4.3,15.6,4.65,5.02,4.28,4.76,52.7,3.3,4.29,4.12,1.34,7.72,3.44,13.1,8.96,2.74
https://doi.org/10.1016/j.apgeochem.2015.03.001,La,0.007370000000000001,0.00173,0.00551,0.00414,0.0256,0.0152,0.00019500000000000002,1.1e-05,0.0030499999999999998,0.00327,8.5e-05,0.00219,0.031,0.0193,0.0237,4e-05,0.01,4.9000000000000005e-05,3.9e-05,0.0445,0.047299999999999995,0.00020899999999999998,0.0292,0.0238,0.000127,0.00566,4.7000000000000004e-05,0.195,0.2,0.000855,1e-05,0.000962,0.0825,0.000261,0.0003,0.0293,0.146,0.0973,0.0035299999999999997,0.00029099999999999997,0.00013700000000000002,0.0691,0.00552,0.07,0.00572,0.00063,0.00022500000000000002,0.015300000000000001,0.0061200000000000004,0.000184,0.00195,0.00127,0.00017,0.00452,0.0007650000000000001,8e-05,0.000375,0.00014199999999999998,0.000122,0.0006979999999999999,5.6e-05,0.00642,1.1e-05,6e-06,7e-06,0.000115, ,5e-06,3e-06,0.00133,2e-05,0.00014099999999999998,1.4e-05,0.00182,0.00252,9.6e-05,1.2e-05,9.6e-05,0.0015,0.00027800000000000004,0.00014000000000000001,5.5e-05,2.2e-05,2.7e-05,2.1000000000000002e-05,1.9e-05,1e-05,0.00536,7.8e-05,0.00017199999999999998,0.0025800000000000003,4e-06,5.5e-05,0.000153
https://doi.org/10.1016/j.apgeochem.2015.03.001,Li,0.0985,0.023,0.045,0.0585,0.0795,0.04,0.014,0.008,0.07100000000000001,0.08750000000000001, ,0.057,0.3,0.14200000000000002,0.10400000000000001,0.014,0.14,0.028,0.014,0.278,0.276,0.0575,0.21,0.41000000000000003,0.024,0.031,0.009000000000000001,0.296,0.342,0.009000000000000001,0.005,0.03,0.116,0.03,0.012,0.6,0.249,0.242,0.14100000000000001,0.018000000000000002,0.016,0.039,0.059000000000000004,0.112,0.026000000000000002,0.068,0.11800000000000001,0.069,0.1,0.022,0.042,0.0585,0.07,0.053,0.017,0.009000000000000001,0.08650000000000001,0.0925,0.0565,0.278,0.0775,0.098,0.08750000000000001,0.025,0.016,0.252,0.23500000000000001,0.067,0.364,0.35000000000000003,0.026000000000000002,0.026000000000000002,0.017,0.246,0.362,0.006,0.01,0.031,0.088,0.036000000000000004,0.012,0.318,0.54,0.5,0.131,0.018000000000000002,0.006,0.008,0.029,0.099,0.025,0.069,0.07100000000000001,0.0655
https://doi.org/10.1016/j.apgeochem.2015.03.001,Lu,0.00014199999999999998,3.5000000000000004e-05,6.500000000000001e-05,2.4e-05,0.000951,0.000194,5e-06, ,0.000207,0.00026500000000000004, ,3.8e-05,0.0023,0.000691,0.00068, ,0.0020099999999999996,3e-06,1e-06,0.0022,0.0023,2e-05,0.00484,0.0058, ,0.000212,1e-06,0.00658,0.00756,1.4e-05, ,1.8e-05,0.00166, ,4e-06,0.00161,0.007110000000000001,0.00461,0.000237,1.7000000000000003e-05,1e-06,0.00134,0.00025,0.00135,0.000154,0.000214,2e-05,0.000652,9.900000000000001e-05,4e-06,1.6e-05,7e-06,5e-06,3.5000000000000004e-05,1.5e-05,1e-06,1.6e-05, ,2e-06,9e-06, ,8e-05, , , ,4e-06, , , ,1.3e-05, ,6e-06, ,8e-06,1.1e-05,1e-06, , ,8e-06,3e-06,2e-06,2e-06, ,2e-06,1e-06,1e-06, ,0.000126,1e-06,3e-06,6.3e-05,2e-06,1e-05,6e-06
https://doi.org/10.1016/j.apgeochem.2015.03.001,Mg,32.8,20.3,29.2,71.3,72.9,200,58.8,6.1,68.4,69.2,23.2,245,414,44.4,158,36.2,254,47.5,24,104,121,45.2,314,308,165,101,29.6,613,672,7.55,22.6,188,75,7.95,16.8,104,166,142,227,102,142,107,41.2,281,42.4,242,35,56.4,33.1,19,27.7,68.4,66.8,200,52.4,6.05,85.4,77.5,254,325,32.6,156,4.1,46.6,23.9,0.734,0.08,39,0.967,300,156,61.8,49.2,148,254,6.85,30.8,186,26.3,70.7,18.2,84.6,36.8,89.8,216,99.4,136,106,39.9,244,44.8,202,37.1,19.4
https://doi.org/10.1016/j.apgeochem.2015.03.001,Mn,2.44,1.98,2.66,5.47,22.2,6.48,0.848,0.187,9.48,9.3,0.0373,7.84,41.6,3.49,20.6,0.213,18.400000000000002,1.48,0.41200000000000003,32.6,37.6,1.22,36,24,11.8,20.400000000000002,2.24,136,130,1.52,4.89,12.8,14.8,0.0273,0.381,9.94,81.3,72.8,9.67,9.27,2.5300000000000002,29.3,4.03,62,5.2700000000000005,5.13,0.59,13.6,2.62,0.252,2.65,3.0300000000000002,8.38,0.5640000000000001,0.988,0.152,4.74,7.25,5.51,19,1.82,19,0.0036000000000000003,0.47000000000000003,0.0707,0.0855,0.0054,0.0436,0.0045000000000000005,34.800000000000004,2.04,2.0100000000000002,1.96,9.68,5.92,1.45,1.12,0.732,2.09,1.09,0.382,2.09,2.45,0.672,0.838,0.36,0.138,0.621,0.592,4,4.99,0.168,1.06,0.71
https://doi.org/10.1016/j.apgeochem.2015.03.001,Mo, , ,0.0002, , ,0.0001, ,0.0003, , ,0.0009000000000000001, , ,0.0007, ,0.004200000000000001,0.0008,0.0009000000000000001,0.0008, , ,0.0002,0.0008,0.0006, , ,0.0002,0.0003,0.0011, , ,0.0002, ,0.0066,0.0002,0.0005, , ,0.0007,0.0002, , , , , ,0.0006,0.0073, , , , ,0.0002, , , ,0.0006,0.0005,0.0043, , , , ,0.0015,0.0006,0.0008,0.0002,0.0003,0.0003,0.0002,0.0001, ,0.0002,0.0002,0.0001,0.0002,0.0001, , , ,0.0037,0.0004,0.0004,0.0039,0.0018000000000000002,0.0006, ,0.0001, , ,0.0001, ,0.001,0.0092,
https://doi.org/10.1016/j.apgeochem.2015.03.001,Na,27.1,2.2,2.4,6.6,3.9,5.8,17.2,56.6,7.8,8.25,1.9,22.8,6.15,6.35,7.75,6.4,348,34.4,47,3.85,10.1,112,78.7,99.4,3.95,9.85,5.55,24.3,17.6,1.9,2.7,15.1,122,1.9,5.85,69,284,298,2030,23.6,4.2,1.65,7.05,11,50,2660,2130,1.45,27.5,2.35,2.5,6.95,4.3,6.05,21.2,49.2,5.7,6.85,39.1,248,5.3,69.6,1480,32.4,46.4,6.5,28.7,114,95.4,98.9,194,169,126,34.7,16.9,4.45,3.05,15,326,8.25,5.95,53.6,454,537,2080,43.8,3.95,1.75,7.7,389,46.7,2660,1500,140
https://doi.org/10.1016/j.apgeochem.2015.03.001,Nb, , , , , , , , , , , , , ,6e-06, , ,2e-05, , , , , ,2.5e-05,0.00013900000000000002, , , ,7e-06, , , , , , , ,2.2e-05,6e-06, ,3.8e-05, , , , , , ,2.6e-05, , , , , , , , , , , , , , , , , , , , , , , ,1e-05, , , , , , , , , , , , , , ,8e-06, , , , , ,1.2e-05, , ,
https://doi.org/10.1016/j.apgeochem.2015.03.001,Nd,0.00851,0.00192,0.00553,0.00272,0.0466,0.0128,0.00028000000000000003,2.3e-05,0.00797,0.00859,0.0001,0.00314,0.08009999999999999,0.038,0.037899999999999996,1.5e-05,0.0717,8.400000000000001e-05,5.7e-05,0.0742,0.0757,0.000507,0.14100000000000001,0.139,9.7e-05,0.0105,5.4e-05,0.24,0.245,0.00134,6e-06,0.0015300000000000001,0.131,1.7000000000000003e-05,0.000504,0.101, ,0.264,0.0112,0.000526,0.00011700000000000001,0.107,0.0114,0.09,0.0094,0.00461,4.4999999999999996e-05,0.034100000000000005,0.00654,0.000208,0.00141,0.000728,0.00025800000000000004,0.0029500000000000004,0.00134,0.00011300000000000001,0.000486,0.000105,0.000144,0.000629,6e-05,0.005980000000000001,1.5e-05,4e-06,7e-06,0.00020300000000000003,3e-06,6e-06,5e-06,0.0024100000000000002,5e-06,0.00026500000000000004,1e-05,0.0006780000000000001,0.00124,0.00013900000000000002,1.9e-05,3.7e-05,0.0013700000000000001,0.000451,0.000171,0.00014299999999999998,4.7000000000000004e-05,9.6e-05,5e-05,4.6e-05,1.1e-05,0.009460000000000001,5.9e-05,0.000244,0.004240000000000001,4e-06,0.0001,0.000262
