Source,Element,Concentration (mg/L),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96
https://doi.org/10.1016/j.apgeochem.2015.03.001,NH3,0.12,0.1,0.22,0.26,0.15,0.05,0.19,0.38,0.41,0.32,0.04,0.08,0.17,0.83,0.07,0.32,4.46,0.82,0.46,1.17,0.23,0.75,6.84,11.2,0.18,0.91,0.32,1.48,1.53,0.07,0.18,0.51,0.06,0.05,0.04,1.44,0.9,1.01,3.98,0.34,0.09,0.06,0.05,0.77,0.04,5.86,1.01,0.04,0.12,0.09,0.19,0.24,0.13,0.03,0.24,0.21,0.23,0.19,0.04,0.1,0.49,0.06,0.04,0.23,0.35,0.08,0.04,0.74,5.2,6.56,0.1,0.74,0.16,0.62,0.64,0.08, ,0.03,0.03,0.34,0.05,0.88,0.49,0.59,3.58,0.04,0.03, ,0.04,0.16,0.07,4.1, ,0.04
https://doi.org/10.1016/j.apgeochem.2015.03.001,Ni,0.226,0.0882,0.09759999999999999,0.10200000000000001,0.398,0.546,0.014, ,0.292,0.342,0.0033,0.10400000000000001,1.36,0.186,0.51,0.0106,1.53,0.005900000000000001,0.0069500000000000004,1.68,1.92,0.033600000000000005,1.43,0.684,0.165,0.523,0.0513,5.42,4.7,0.0177,0.0031000000000000003,0.147,0.397,0.033,0.0151,0.507,1.19,0.982,0.14300000000000002,0.133,0.0249,0.716,0.23700000000000002,0.9440000000000001,0.08700000000000001,0.168,0.0324,0.337,0.223,0.0202,0.0947,0.048,0.035500000000000004,0.136,0.0179,0.0013000000000000002,0.195,0.188,0.067,0.326,0.0316,0.4,0.10400000000000001,0.00595,0.002,0.0319,0.0069500000000000004,0.007,0.0032,0.231,0.055200000000000006,0.0193,0.0272,0.20400000000000001,0.045899999999999996,0.016,0.00715,0.023,0.0381,0.0933,0.0183,0.0174,0.034,0.00845,0.164,0.0054,0.0037,0.0263,0.023899999999999998,0.0141,0.0708,0.233,0.0292,0.012
https://doi.org/10.1016/j.apgeochem.2015.03.001,NO2, , , , , , , , , , , , , , , ,0.38, , , , , , , , , , ,0.05, , , , , , ,0.08, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.07, , , , , , , ,0.03, , , , , , , , , , , , ,
https://doi.org/10.1016/j.apgeochem.2015.03.001,NO3,0.07,0.02, , , ,0.42,0.18,0.39,0.72,0.21,2.3, , , , ,6.42, , ,0.03,0.18, , , , , ,1.59,1.34, , ,0.08, , , ,6,0.67, ,0.5, , , , ,1.09,0.07, ,0.15, , ,0.16,0.08,0.03,0.03, , ,0.26,0.22,0.09,1.01,0.22, , , , , ,0.38,0.05,0.13, ,0.09, , , ,1.84,0.86, , ,0.11, , , ,9.17,0.94,0.4, , , , , ,0.93, , ,0.08,5.76, ,0.09
https://doi.org/10.1016/j.apgeochem.2015.03.001,TIN,0.19,0.12000000000000001,0.22,0.26,0.15,0.47,0.37,0.77,1.13,0.53,2.34,0.08,0.17,0.83,0.07,7.12,4.46,0.82,0.49,1.3499999999999999,0.23,0.75,6.84,11.2,0.18,2.5,1.7100000000000002,1.48,1.53,0.15000000000000002,0.18,0.51,0.06,6.13,0.7100000000000001,1.44,1.4,1.01,3.98,0.34,0.09,1.1500000000000001,0.12000000000000001,0.77,0.19,5.86,1.01,0.2,0.2,0.12,0.22,0.24,0.13,0.29000000000000004,0.45999999999999996,0.3,1.24,0.41000000000000003,0.04,0.1,0.49,0.06,0.04,0.61,0.39999999999999997,0.21000000000000002,0.04,0.83,5.2,6.56,0.1,2.58,1.0899999999999999,0.62,0.64,0.19,0,0.03,0.03,9.51,1.02,1.28,0.49,0.59,3.58,0.04,0.03,0.93,0.04,0.16,0.15000000000000002,9.86,0,0.13
https://doi.org/10.1016/j.apgeochem.2015.03.001,Os, , , , , , , , , , , , , , , , , , , , , , , ,2e-06, , , , , , , , , , , , ,3e-06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
https://doi.org/10.1016/j.apgeochem.2015.03.001,Pb,0.00172,0.0015400000000000001,0.0005200000000000001,0.00017,0.00176,0.0002,0.0011,8.999999999999999e-05,0.011,0.0083,0.00021,6e-05,0.00216,0.0019,0.00316,0.00017,0.00196,2e-05,0.00014000000000000001,0.0010600000000000002,0.0015400000000000001,8.999999999999999e-05,0.00126,0.0007, ,0.00211,5e-05,0.005200000000000001,0.010199999999999999,0.0024,3e-05,3e-05,0.0167,0.00019,0.00057,0.00426,0.0028799999999999997,0.0017800000000000001,0.00012,7.000000000000001e-05,5e-05,0.00191,0.0015400000000000001,0.00269,0.00017,4e-05,8.999999999999999e-05,0.00138,0.00054,0.00017999999999999998,0.00012,4e-05,7.000000000000001e-05,0.00012,0.005730000000000001,0.0008950000000000001,0.00023,0.0001,3e-05,2e-05,1e-05,0.00029,5e-05,2e-05, ,1e-05,0.00118, ,1e-05,1e-05, ,7.000000000000001e-05, ,3e-05,8.999999999999999e-05,0.00048,2e-05,4e-05,3e-05,0.00252,0.00023,3e-05,0.00012,1e-05,4e-05,0.00012, ,0.00015,2e-05,7.000000000000001e-05,0.00079,2e-05,0.0002,5e-05
https://doi.org/10.1016/j.apgeochem.2015.03.001,Pd, , , , , , , , , , , , , , , , ,1e-05, , , ,0.0001, , ,2e-05, , , , , , , , ,1e-05, , ,1e-05, , , , , , , , , , ,0.0001, , , , , , , ,5e-05, , , , , , , , , , , ,1e-05, , ,2e-05, , , , , , , , , , , , , ,1e-05,2e-05, , , , , , , ,0.0001,
https://doi.org/10.1016/j.apgeochem.2015.03.001,P, , , , , , , , , , , , , ,0.25, , ,0.12,0.03, , , , ,2.79,2.62,0.03, , , , ,0.02, , , , , , , , , , , ,0.07, , , ,0.02,0.03, , , , , , , ,0.05, , , , , , , , , , , , , , ,0.03, , , , , , , , , ,0.02, , , , , , , , , , , ,0.8,0.05,
https://doi.org/10.1016/j.apgeochem.2015.03.001,Pr,0.00213,0.000475,0.00142,0.000729,0.0103,0.0034100000000000003,6.500000000000001e-05,4e-06,0.00147,0.0016,2e-05,0.000624,0.0152,0.0081,0.008060000000000001, ,0.0112,1.7000000000000003e-05,1.2e-05,0.0166,0.0173,0.000108,0.023600000000000003,0.0214,1.8e-05,0.00214,1.3e-05,0.0572,0.0653,0.000313,1e-06,0.000306,0.0296,4e-06,0.00011,0.0183,0.07640000000000001,0.0513,0.0020299999999999997,0.000101,2.2e-05,0.0228,0.00229,0.0205,0.0020299999999999997,0.00064,1e-05,0.00683,0.0016200000000000001,5.1e-05,0.000355,0.000206,6.1e-05,0.000715,0.0003,2.5e-05,9.7e-05,2.3e-05,2.6e-05,0.000131,1.4e-05,0.00135,3e-06,1e-06,1e-06,4.2999999999999995e-05,2e-06,2e-06,1e-06,0.000424, ,5.2e-05,4e-06,0.000176,0.000342,2.9000000000000004e-05,4e-06,1.1e-05,0.00035299999999999996,0.000101,4.4e-05,2.5e-05,9e-06,1.6e-05,1e-05,1.1e-05,2e-06,0.002,1.2e-05,5.3e-05,0.000915,2e-06,1.5e-05,5.4e-05
https://doi.org/10.1016/j.apgeochem.2015.03.001,Rb,0.00811,0.00304,0.0025099999999999996,0.00447,0.0091,0.011300000000000001,0.0029300000000000003,0.00239,0.0119,0.009980000000000001,0.00311,0.00337,0.0101,0.009380000000000001,0.00973,0.00868,0.0205,0.00554,0.0037300000000000002,0.0111,0.013000000000000001,0.004730000000000001,0.0524,0.0681,0.0029900000000000005,0.013900000000000001,0.00522,0.028399999999999998,0.0344,0.00372,0.0015400000000000001,0.0091,0.006860000000000001,0.0112,0.006,0.0141,0.0095,0.00853,0.0548,0.00523,0.0049299999999999995,0.00521,0.00294,0.00923,0.0027,0.023100000000000002,0.00725,0.00444,0.008480000000000001,0.00289,0.0024700000000000004,0.005030000000000001,0.009779999999999999,0.0101,0.00488,0.00223,0.0131,0.014,0.00369,0.00994,0.00742,0.00966,0.00984,0.00505,0.00387,0.012199999999999999,0.0169,0.00523,0.058,0.0633,0.00309,0.0119,0.0070999999999999995,0.027800000000000002,0.028100000000000003,0.0024100000000000002,0.00191,0.00784,0.00613,0.022,0.00651,0.0116,0.016,0.016399999999999998,0.0524,0.00426,0.00431,0.00545,0.0025099999999999996,0.00856,0.00354,0.0265,0.00515,0.0046
https://doi.org/10.1016/j.apgeochem.2015.03.001,Re,1e-06, ,1e-06,3e-06, , , , , , , , ,1e-06,1e-06, ,2e-05,3e-06,3e-06,4e-06, , ,1e-06, ,3e-06, ,1e-06,1e-06,2e-06,2e-06,1e-06, ,3e-06,7e-06,5.7e-05,4e-06,2e-06,1e-05, ,2.7e-05,2e-06, ,2e-06, ,9e-06,6e-06,2.8e-05,1.5e-05, , , , ,3e-06, , , , ,3e-06,1e-05, , ,1e-06, , ,3e-06,3e-06, , ,2e-06, , , ,1e-06,1e-06, , ,1e-06, ,2e-06,6e-06,5.9e-05,7e-06,3e-06,1.8e-05,1.4e-05,2.4e-05,1e-06, ,1e-06,1e-06,1.1e-05,6e-06,3e-05,1.5e-05,
https://doi.org/10.1016/j.apgeochem.2015.03.001,Ru, , ,1e-05,1e-05, ,1e-05, , ,1e-05, , , ,1e-05,1e-05,1e-05, ,2e-05, ,1e-05, , , ,5e-05,2e-05, , , , ,2e-05, , ,1e-05, , , ,1e-05,1e-05, ,8.999999999999999e-05, , , , ,1e-05,1e-05,5e-05,5e-05, ,1e-05,1e-05,1e-05,1e-05, , , ,1e-05,1e-05, , , ,1e-05,1e-05,1e-05,1e-05, ,1e-05, ,1e-05,1e-05, , , , , ,1e-05, , ,1e-05, , , , , , ,8e-05, ,1e-05, , ,2e-05,1e-05,7.000000000000001e-05,5e-05,
https://doi.org/10.1016/j.apgeochem.2015.03.001,Sb,1e-05,1e-05,2e-05,1e-05, ,0.0025,0.00025,3e-05,1e-05,0.0001,0.0005, , ,2e-05, ,0.0017,0.00011,1e-05,1e-05,1e-05, ,1e-05,0.0001,8e-05, ,5e-05,8.999999999999999e-05,1e-05, ,8.999999999999999e-05,1e-05, ,1e-05,0.0030800000000000003,0.00017999999999999998,1e-05,1e-05, ,2e-05,1e-05,2e-05,2e-05,1e-05, ,1e-05,1e-05,5e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05, ,0.00045000000000000004,0.00042,0.0001,0.00015,1e-05,1e-05, ,1e-05,6e-05,1e-05,2e-05,1e-05, ,2e-05, ,2e-05, ,0.00011,5e-05, , ,0.00011,1e-05, ,2e-05,0.00121,0.00025,7.000000000000001e-05,3e-05,3e-05,3e-05,2e-05,5e-05,1e-05,2e-05, ,2e-05,1e-05,0.0006500000000000001,2e-05
https://doi.org/10.1016/j.apgeochem.2015.03.001,Sc,0.004,0.002,0.003,0.002,0.008, , ,0.002,0.005, , ,0.002,0.016,0.009000000000000001,0.003, ,0.008,0.001,0.001,0.014,0.009000000000000001,0.002,0.011,0.019, ,0.004, ,0.07200000000000001,0.115,0.002, ,0.002,0.015,0.002,0.002,0.021,0.024,0.01,0.003,0.002, ,0.009000000000000001,0.005,0.006,0.002,0.002, ,0.008,0.003, ,0.002,0.002, , , ,0.001,0.002, ,0.001,0.002, ,0.002, , ,0.001, , ,0.001, , , ,0.001, , , ,0.001,0.001,0.001,0.001,0.001,0.001, , , , ,0.001, ,0.002,0.002, ,0.002, , ,0.001
https://doi.org/10.1016/j.apgeochem.2015.03.001,Se,0.0027, ,0.0002,0.0009000000000000001,0.0039,0.006200000000000001, , ,0.006,0.0028,0.0040999999999999995,0.0004,0.005900000000000001,0.0024,0.0029,0.0221,0.0040999999999999995, , ,0.0034,0.004900000000000001,0.0006,0.0081,0.0109, ,0.014199999999999999,0.006900000000000001,0.0076,0.03,0.0002, ,0.0003,0.0038,0.00975,0.0009000000000000001,0.006,0.0159,0.0166,0.0143,0.0007,0.0003,0.0045000000000000005,0.0009000000000000001,0.0024,0.0004,0.013900000000000001, ,0.0023,0.0028,0.0002, ,0.0008,0.0013000000000000002,0.0035, ,0.0002,0.00755,0.0038,0.0004,0.0028,0.0007,0.0019,0.0068, , ,0.0016,0.0014,0.0008,0.0008,0.0013000000000000002, ,0.0152,0.0056,0.0055,0.006500000000000001,0.0004,0.0003,0.0004, ,0.0385,0.0017,0.0015,0.0021000000000000003,0.0019,0.0087,0.0002,0.0004,0.0019, ,0.0002,0.0004,0.0019,0.0176,0.0008
https://doi.org/10.1016/j.apgeochem.2015.03.001,Si,24.6,18.1,28.1,26.4,37.2,13.4,14,17.5,33.7,39.5,9.5,24.6,76.7,33.9,35,14.3,28.3,18.8,15.5,63.3,60.3,18.8,46.9,78.2,16,26.1,13.8,60.3,79.7,19,9.3,20.1,78.2,21,19,79.7,62.6,57,27.7,15.6,9.1,32.8,49.2,36.3,21,19,14,48.8,23.8,11.7,24.8,23.5,4.3,15.8,19.7,15.5,19.4,18.6,16.8,18.6,7.1,27.9,1.1,11.2,11.5,10.4,1.5,14,1.1,11,7.3,13.4,13.2,5,2.6,13,12.3,17.3,12.3,13.8,16.4,4.7,0.7,1.1,1.9,15.6,8,20.9,22.7,5.2,24.2,1.9,6.3,11.2
https://doi.org/10.1016/j.apgeochem.2015.03.001,Sm,0.0020499999999999997,0.00046100000000000004,0.00126,0.000504,0.016,0.003,0.00011,1e-05,0.00361,0.00395,2.5e-05,0.000916,0.0272,0.01,0.010400000000000001, ,0.0286,2.2e-05,1.3e-05,0.0185,0.021500000000000002,0.000185,0.05620000000000001,0.056100000000000004,3e-05,0.00372,1.2e-05,0.0741,0.08270000000000001,0.00040600000000000006,1e-06,0.00039400000000000004,0.03270000000000001,7e-06,0.000135,0.0335,0.126,0.0838,0.00365,0.00016,2.9000000000000004e-05,0.028100000000000003,0.00432,0.0213,0.00286,0.00164,1e-05,0.0103,0.00149,4.9000000000000005e-05,0.00029,0.00014299999999999998,8.5e-05,0.0005600000000000001,0.00040500000000000003,3.3e-05,0.00019500000000000002,3.5000000000000004e-05,4.4e-05,0.000162,1.4e-05,0.00158,4e-06, ,2e-06,5.5e-05,2e-06,2e-06,3e-06,0.000576,1e-05,0.000102,1.1e-05,0.000135,0.00025100000000000003,3.5000000000000004e-05,6e-06,7e-06,0.000326,0.000111,5.5e-05,5.2e-05,1.6e-05,3.2e-05,1.5e-05,1.3e-05,3e-06,0.00311,1.6e-05,6.500000000000001e-05,0.00127,1e-06,2.5e-05,8.9e-05
https://doi.org/10.1016/j.apgeochem.2015.03.001,TIN, , , , , , , , , , , , , , , , , , ,0.0008, , , , , , , , , , , , , , , , , ,0.0001, , , , , , , , , ,0.0005, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.0005,
https://doi.org/10.1016/j.apgeochem.2015.03.001,SO4,321,156,255,606,732,1320,504,15,906,915,240,1700,2500,1250,1200,345,6120,726,321,942,1170,681,10600,10600,1310,906,309,4710,4920,51,180,1600,1340,81,174,1860,3450,2800,4770,879,1030,981,411,2380,345,8130,1860,501,318,150,252,600,720,1340,462,27,1030,1110,1730,2310,909,1170,3120,720,318,843,900,675,2260,5250,1290,780,561,3180,3930,51,237,1600,1080,726,195,1470,2700,3000,4620,858,1010,930,417,2200,402,7800,1550,441
https://doi.org/10.1016/j.apgeochem.2015.03.001,Sr,0.18,0.0854,0.47000000000000003,0.84,0.15,0.39,1.05,0.36,0.46,0.53,0.21,0.35000000000000003,0.28,1.3900000000000001,0.38,0.78,1.26,0.81,0.58,0.13,0.21,0.71,1.04,0.9500000000000001,0.26,0.46,0.5700000000000001,0.63,0.52,0.12,0.48,1.11,0.35000000000000003,0.27,0.37,0.97,0.73,0.86,5.24,0.25,0.42,0.29,0.17,1.24,0.8300000000000001,4.55,5.12,0.1,0.2,0.1,0.46,0.8300000000000001,0.28,0.5,1.1300000000000001,0.38,0.62,1,0.35000000000000003,0.26,1.17,0.36,0.18,0.76,0.55,0.56,1.32,0.59,1.82,1.68,0.19,0.32,0.22,0.89,0.97,0.12,0.27,1.07,0.29,1.09,0.39,0.96,0.92,0.84,4.08,0.25,0.41000000000000003,0.5,0.36,0.67,0.84,3.3200000000000003,3.8200000000000003,0.11
https://doi.org/10.1016/j.apgeochem.2015.03.001,Ta,5e-06,1e-06,3e-06,1e-06,4.6e-05,1.2e-05, , ,1.3e-05,1e-05, ,3e-06,0.000111,3.8e-05,3.7e-05, ,0.000155, , ,8.599999999999999e-05,7.000000000000001e-05, ,0.00032500000000000004,0.00026700000000000004, ,1.1e-05, ,0.000215,0.000107, , ,3e-06,7.8e-05, , ,9.2e-05,0.00044300000000000003,0.0002,1.7000000000000003e-05,2e-06, ,9.2e-05,1.4e-05,8.7e-05,7e-06,1.2e-05, ,3.6e-05,4e-06, , ,1e-06, , , , ,1e-06, , , , ,4e-06, , , , , , , ,1e-06, , , , ,2e-06, , , , ,1e-06, , , , , , , ,1e-05, , ,3e-06, , ,
https://doi.org/10.1016/j.apgeochem.2015.03.001,Tb,0.00034300000000000004,8.400000000000001e-05,0.000186,7.8e-05,0.0030299999999999997,0.000638,2e-05,2e-06,0.000921,0.00117, ,0.000206,0.00786,0.00223,0.00265, ,0.00871,7e-06,4e-06,0.00495,0.005200000000000001,5.1e-05,0.0165,0.0178,1.3e-05,0.000884,4e-06,0.018000000000000002,0.021,5.800000000000001e-05, ,9.400000000000001e-05,0.0061600000000000005,1e-06,1.9e-05,0.00643,0.027800000000000002,0.0178,0.000859,5.4e-05,6e-06,0.00685,0.00101,0.00575,0.000626,0.000541, ,0.0026200000000000004,0.000247,9e-06,4.7000000000000004e-05,2.1000000000000002e-05,1.8e-05,0.00013000000000000002,6.500000000000001e-05,6e-06,6.7e-05,1.5e-05,9e-06,3.7e-05,3e-06,0.00033900000000000005, , , ,1.3e-05, , , ,0.000104, ,2.2e-05,1e-06,3.2e-05,5.3e-05,4e-06, ,2e-06,4.9000000000000005e-05,1.8e-05,6e-06,9e-06,4e-06,8e-06,9e-06,2e-06, ,0.0006490000000000001,3e-06,1.3e-05,0.00025100000000000003,5e-06, ,1.9e-05
https://doi.org/10.1016/j.apgeochem.2015.03.001,Te, , , , , , , , , , , , , , , , , , , , , , , ,0.0001, , , , , , , , , , , , , , ,0.0003, , , , , , ,0.0001, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.0002, , , , , , ,0.0001, ,
https://doi.org/10.1016/j.apgeochem.2015.03.001,Th,0.000359,4.2999999999999995e-05,7e-06,3e-06,0.00191, ,2e-05,2e-06,0.000365,6.500000000000001e-05, ,5e-06,7.7e-05,0.00396,1.1e-05, ,0.00158,4e-06,2e-06,0.000977,0.00054,1.4e-05,0.00101,0.000848, ,9.800000000000001e-05,3e-06,0.00701,0.0136,0.000345,3e-06,1.6e-05,0.000567, ,0.00016,0.005019999999999999,0.00163,0.000675,8e-06,2e-06,2e-06,0.00188,5.2e-05,2.7e-05,5.3e-05,1.1e-05,1e-05,0.000149,0.0001,5e-06,2e-06,7e-06,5e-06, ,0.00039000000000000005,1.3e-05,3.2e-05, ,3e-06,1e-05,2e-06,1e-06,1e-05,2e-06,2e-06,5e-06,2e-06,3e-06,5e-06,1e-05, ,3e-05, ,3e-06,1.3e-05,2.5e-05,3e-06,1.8e-05,5e-06,0.000106,2.5e-05,1.1e-05,5e-06,1e-05,3e-06,8e-06,1e-06,4.4999999999999996e-05, ,4.7000000000000004e-05,0.00011,1.1e-05,2e-05,2e-06
https://doi.org/10.1016/j.apgeochem.2015.03.001,Ti,0.0021000000000000003,0.0012,0.0015,0.0015,0.0012,0.0008,0.0014,0.0004,0.0012,0.0017,0.0011,0.0009000000000000001,0.0027,0.0028,0.001,0.0009000000000000001,0.0024,0.0012,0.0008,0.0025,0.002,0.001,0.0107,0.0127,0.0015,0.0034,0.0006,0.0027,0.0021000000000000003,0.0017,0.0008,0.0019,0.0045000000000000005,0.0012,0.0044,0.005200000000000001,0.0050999999999999995,0.002,0.010199999999999999,0.0013000000000000002,0.0009000000000000001,0.002,0.0024,0.0024,0.0012,0.0111,0.0014,0.0024,0.0022,0.001,0.0012,0.0023,0.0004,0.0011,0.005,0.0005,0.0009000000000000001,0.0015,0.0004,0.0021000000000000003,0.0002,0.0011,0.0014,0.0009000000000000001,0.0009000000000000001,0.0013000000000000002,0.0007,0.0009000000000000001,0.0016,0.0015,0.0014,0.0012,0.0005,0.0014,0.0022,0.0006,0.0008,0.0016,0.0014,0.0028,0.0019,0.0011,0.0016,0.0018000000000000002,0.0079,0.0014,0.0008,0.0014,0.0012,0.0033,0.0046,0.011,0.0015,0.0008
https://doi.org/10.1016/j.apgeochem.2015.03.001,Tl,7.9e-05,3.4000000000000007e-05,2.3e-05,2.8e-05,0.0002,0.000107,2.5e-05, ,9.900000000000001e-05,5.5e-05,2e-05,2.6e-05,0.000154,0.00158,6e-05,3.5000000000000004e-05,0.000724, ,1.8e-05,0.000257,0.000345,9.3e-05,0.0018100000000000002,0.00145, ,0.000144,3.5000000000000004e-05,0.00079,0.00101,2.8e-05,2e-05,7.4e-05,0.000601,9.400000000000001e-05,4.9000000000000005e-05,0.00059,0.000612,0.000505,7.7e-05,1.7000000000000003e-05,1.9e-05,0.000118,0.000295,7.2e-05,2.2e-05, ,1e-05,0.000115,8e-05,2.3e-05,2.3e-05,2.6e-05,0.000148,3.5000000000000004e-05,4e-05,2e-06,5.7e-05,6.7e-05,2.5e-05,0.000106,0.000747,5.7e-05,1.5e-05, ,1.5e-05,0.000145,0.0001,6.1e-05,1.3e-05,0.0005290000000000001, ,8.1e-05,4.6e-05,0.000212,0.000259,1.9e-05,2e-06,1.3e-05,0.0004,0.00013700000000000002,4.8e-05,0.000386,0.000427,0.00046300000000000003,3.9e-05,4e-06,1.1e-05,1.7000000000000003e-05,1.7000000000000003e-05,4.1e-05,2.2e-05, ,0.00014000000000000001,9.1e-05
https://doi.org/10.1016/j.apgeochem.2015.03.001,Tm,0.000144,3.7e-05,6.7e-05,2.6e-05,0.00101,0.000212,5e-06, ,0.000243,0.00031, ,5e-05,0.00263,0.000771,0.000805, ,0.00233,3e-06,2e-06,0.00235,0.00233,2.1000000000000002e-05,0.00543,0.0066, ,0.000252, ,0.007730000000000001,0.0079,1.6e-05, ,2.4e-05,0.00185, ,5e-06,0.0018700000000000001,0.00825,0.00495,0.00028100000000000005,2.1000000000000002e-05,2e-06,0.0016899999999999999,0.000285,0.00164,0.000178,0.000231,1e-05,0.0007700000000000001,0.0001,4e-06,1.8e-05,8e-06,6e-06,4e-05,2e-05,1e-06,1.8e-05, ,2e-06,1e-05, ,9.3e-05, , , ,5e-06, , , ,1.7000000000000003e-05, ,7e-06, ,9e-06,1.6e-05,1e-06, , ,1.2e-05,4e-06,2e-06,2e-06, ,2e-06, , , ,0.000163,1e-06,4e-06,7.6e-05, , ,7e-06
https://doi.org/10.1016/j.apgeochem.2015.03.001,U,0.00134,0.000254,0.00022,0.000148,0.0030499999999999998,0.00021700000000000002,0.00017,2e-05,0.00115,0.000455,0.00086,0.00011600000000000001,0.00447,0.00332,0.00040300000000000004,0.00447,0.00478,0.00034100000000000005,0.000182,0.00504,0.00447,0.00013800000000000002,0.0070599999999999994,0.007,1.8e-05,0.000829,0.00029099999999999997,0.023899999999999998,0.03270000000000001,0.000162,0.00011899999999999999,0.00223,0.00467,0.00654,0.00138,0.0056500000000000005,0.010400000000000001,0.0057,0.0035600000000000002,0.0013000000000000002,0.00159,0.00233,0.000465,0.00321,0.0012,0.0005340000000000001,0.000715,0.00132,0.000771,3.7e-05,4.4e-05,0.000133,0.0010500000000000002,4.4999999999999996e-05,0.000345,6.900000000000001e-05,0.00040300000000000004,0.000303,0.000123,0.000432,8.300000000000001e-05,0.000144,4.4999999999999996e-05,0.000342,0.000125,1.7000000000000003e-05,2e-06,3.9e-05,3e-06,0.000145,1e-05,0.00023300000000000003,5.9e-05,0.000467,0.00038500000000000003,9e-06,1.2e-05,0.0011,7.7e-05,0.0096,0.0017,0.00127,0.000134,0.000337,0.00163,0.000727,0.00193,0.0013700000000000001,9.3e-05,0.000882,0.0012900000000000001,0.000523,0.0029100000000000003,7.5e-05
https://doi.org/10.1016/j.apgeochem.2015.03.001,V,0.0003, , , ,0.0002,0.0002, , , , , , ,0.0001,0.0117, , ,0.012400000000000001, , , , , ,0.0724,0.07, ,0.0003, ,0.0002,0.0003,0.0027, , , ,0.0002,0.0007,0.001,0.0003, , , , , , ,0.0002, , , ,0.0002, , , ,0.0002,0.0002,0.0005,0.0023,0.0002,0.0002, , ,0.0001, , ,0.0002, , ,0.0001, , ,0.0001, , , , , ,0.0002,0.0002, , , ,0.0006,0.0002,0.0001, , , , ,0.0001, , ,0.0001,0.0007, , ,0.0003
https://doi.org/10.1016/j.apgeochem.2015.03.001,W, , , , ,5e-05,2e-05, , ,2e-05, , , ,0.00016,5e-05,5e-05, ,0.00022,4e-05,3e-05,0.00014000000000000001,0.0001, ,0.00055,0.00042, ,2e-05, ,0.00035,0.00034, , , ,0.00012, , ,0.00012,0.0005600000000000001,0.0003,5e-05, , ,0.00012, ,0.00012, ,2e-05, ,4e-05, , , , , , , , , , , , , , , , , , ,2e-05, , , , , , , , , , , , , , , , ,3e-05, , , ,2e-05, , , ,2e-05, ,
