Source,Element,Concentration mg/L,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
https://doi.org/10.22034/GJESM.2019.04.06,Pb,7.9385,,,,,
https://doi.org/10.22034/GJESM.2019.04.06,Hg,0.1434,,,,,
https://doi.org/10.22034/GJESM.2019.04.06,Cd,0.0079,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf P199,Sb,0.053,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf P199,As,0.37,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf P199,Be,0.09,0.618,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf P199,Cd,0.16,0.32,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf P199,Cr,0.68,1.096,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf P199,Cu,19.0,23.8,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf P199,CN,,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf P199,Pb,13.0,4.1,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf P199,Hg,0.002,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf P199,Ni,0.89,1.618,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf P199,Se,0.011,0.0422,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf P199,Ag,0.21,0.346,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf P199,Tl,,,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf P199,Zn,10.0,21.2,,,,
https://www.epa.gov/sites/default/files/2015-10/documents/nfmm_dd_1989_vol_1.pdf P199,pH,9.9,9.9,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  ,Cd,0.02,0.05,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  ,Fe,0.1,2.0,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  ,Hg,0.001,0.05,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  ,Mo,0.2,20.0,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  ,Co,0.04,1.68,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  ,Sb,0.2,1.0,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  ,Zn,0.29,,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  ,Cr,0.15,,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  ,As,0.07,,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  ,Mn,0.05,4.8,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  ,Pb,1.0,,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  ,Ni,0.05,3.0,,,,
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=9100EI1H.TXT  ,Cu,0.08,,,,,
https://doi.org/10.3390/min12020250,Sb,10.31,,,,,
https://doi.org/10.1016/j.cej.2018.02.043,pH,11.67,,,,,
https://doi.org/10.1016/j.cej.2018.02.043,Na,2470.0,,,,,
https://doi.org/10.1016/j.cej.2018.02.043,Mg,15.7,,,,,
https://doi.org/10.1016/j.cej.2018.02.043,Al,1.74,,,,,
https://doi.org/10.1016/j.cej.2018.02.043,Si,2650.0,,,,,
https://doi.org/10.1016/j.cej.2018.02.043,P,1.13,,,,,
https://doi.org/10.1016/j.cej.2018.02.043,SO4,375.0,,,,,
https://doi.org/10.1016/j.cej.2018.02.043,K,36.2,,,,,
https://doi.org/10.1016/j.cej.2018.02.043,Ca,58.4,,,,,
https://doi.org/10.1016/j.cej.2018.02.043,Fe,6.43,,,,,
https://doi.org/10.1016/j.cej.2018.02.043,Mo,1.27,,,,,
https://doi.org/10.1016/j.cej.2018.02.043,W,9.26,,,,,
https://doi.org/10.1016/j.cej.2018.02.043,TDS,5625.13,,,,,
https://doi.org/10.1016/j.jclepro.2018.05.215,pH,11.06,,,,,
https://doi.org/10.1016/j.jclepro.2018.05.215,Na,1340.0,,,,,
https://doi.org/10.1016/j.jclepro.2018.05.215,Mg,3.08,,,,,
https://doi.org/10.1016/j.jclepro.2018.05.215,Al,0.924,,,,,
https://doi.org/10.1016/j.jclepro.2018.05.215,Si,1150.0,,,,,
https://doi.org/10.1016/j.jclepro.2018.05.215,P,0.214,,,,,
https://doi.org/10.1016/j.jclepro.2018.05.215,SO4,420.0,,,,,
https://doi.org/10.1016/j.jclepro.2018.05.215,K,11.9,,,,,
https://doi.org/10.1016/j.jclepro.2018.05.215,Ca,26.8,,,,,
https://doi.org/10.1016/j.jclepro.2018.05.215,Fe,0.947,,,,,
https://doi.org/10.1016/j.jclepro.2018.05.215,Mo,6.42,,,,,
https://doi.org/10.1016/j.jclepro.2018.05.215,W,3.68,,,,,
https://doi.org/10.1016/j.jclepro.2018.05.215,TDS,2963.965,,,,,
https://doi.org/10.37190/ppmp/189756,TIN,5.36,,,,,
https://doi.org/10.37190/ppmp/189756,Zn,2.81,,,,,
https://doi.org/10.37190/ppmp/189756,Fe,2.25,,,,,
https://doi.org/10.37190/ppmp/189756,pH,10.8,,,,,
"https://doi.org/10.1007/s13762-021-03261-x
",Cu,3.73,4.06,,,,
"https://doi.org/10.1007/s13762-021-03261-x
",Co,0.6,0.74,,,,
"https://doi.org/10.1007/s13762-021-03261-x
",Fe,4.03,2.41,,,,
"https://doi.org/10.1007/s13762-021-03261-x
",Mn,0.12,0.16,,,,
"https://doi.org/10.1007/s13762-021-03261-x
",Ca,23.27,37.41,,,,
"https://doi.org/10.1007/s13762-021-03261-x
",Mg,58.43,31.22,,,,
"https://doi.org/10.1007/s13762-021-03261-x
",Na,141.21,93.24,,,,
"https://doi.org/10.1007/s13762-021-03261-x
",Zn,0.32,0.22,,,,
"https://doi.org/10.1007/s13762-021-03261-x
",Cr,0.43,0.67,,,,
"https://doi.org/10.1007/s13762-021-03261-x
",Al,0.34,2.75,,,,
"https://doi.org/10.1007/s13762-021-03261-x
",Ni,0.05,0.07,,,,
"https://doi.org/10.1007/s13762-021-03261-x
",Cd,0.0,0.0,,,,
"https://doi.org/10.1007/s13762-021-03261-x
",Pb,0.07,0.01,,,,
"https://doi.org/10.1007/s13762-021-03261-x
",As,0.04,0.05,,,,
"https://doi.org/10.1007/s13762-021-03261-x
",NO3,28.4,9.47,,,,
"https://doi.org/10.1007/s13762-021-03261-x
",Cl,0.71,0.73,,,,
"https://doi.org/10.1007/s13762-021-03261-x
",SO4,267.1,84.1,,,,
"https://doi.org/10.1007/s13762-021-03261-x
",TIC,76.43,115.26,,,,
"https://doi.org/10.1007/s13762-021-03261-x
",PO4,14.51,14.33,,,,
"https://doi.org/10.1007/s13762-021-03261-x
",TDS,619.79,396.8999999999999,,,,
https://doi.org/10.1016/j.cep.2006.11.015,Ca,270.0,312.0,256,,,
https://doi.org/10.1016/j.cep.2006.11.015,Cu,240.0,250.0,315,,,
