Source,Element,Concentration (mg/L),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62
https://pubmed.ncbi.nlm.nih.gov/26140412/,Si,,,,,3.74,11.66,99.42,20.4,8.7,117.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Ag,,,,,0.01,0.06,0.0325,0.12,0.0537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Na,,,,,17900.0,14200.0,32500.0,16100.0,21400.0,19000.0,13200.0,11700.0,18200.0,29900.0,18800.0,18500.0,15800.0,12200.0,18400.0,74900.0,18300.0,49.7,243.91,73200.0,37400.0,824.0,4860.0,47.0,2570.0,2890.0,910.0,1930.0,22100.0,41166.0,13900.0,27900.0,8030.0,8030.0,34800.0,28600.0,5052.9,12070.0,21100.0,12900.0,36400.0,11378.0,43403.0,10825.0,12392.0,5860.0,22031.0,0.0192,13000.0,1783.0,4489.0,5152.0,16440.0,5042.0,24.03,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,TSS,,,,,2880.0,500.0,3411.0,80.0,4.8,44.0,20.0,120.0,170.0,43.0,110.0,66.0,34.0,320.0,91.0,30.0,36.0,168.0,148.0,113.0,142.0,6.0,11.0,229.0,1020.0,28.0,17500.0,3450.0,10.0,180.0,85.0,91.0,13.2,13.2,44.0,147.0,20.0,129.0,504.0,248.0,639.0,57.0,250.0,17.0,296.0,188.0,101.0,0.0089,2.0,83.0,746.0,28895.0,427.0,215.0,344.0,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,TDS,,,,,8480.0,7600.0,5560.0,5560.0,36100.0,86500.0,74600.0,15000.0,320.0,756.0,3070.0,23500.0,200.0,21700.0,21700.0,88500.0,16484.0,46460.0,24700.0,32500.0,47800.0,33700.0,45400.0,6460.0,893.0,33500.0,7550.0,14038.0,16342.0,43470.0,18884.0,25574.0,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,µS/cm,,,,,52600.0,98400.0,84900.0,428.0,1830.0,88888.0,3650.0,36200.0,420.0,16000.0,15310.0,85400.0,52300.0,45300.0,45300.0,23190.0,61509.0,45400.0,22800.0,43368.0,34782.0,51005.0,24000.0,95634.0,69400.0,13130.0,23634.0,27336.0,51510.0,26040.0,32946.0,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Sr,,78.9,418.0,16.0,909.0,10460.0,3150.0,6423.0,5532.0,6416.0,5862.0,5965.0,6592.0,4724.0,7173.0,7311.0,7827.0,20.8,1330.0,3410.0,1670.0,0.0632,0.47,4280.0,4910.0,15.5,248.0,0.21,10.2,45.6,5.8,16.5,11760.0,5358.0,7185.0,1170.0,5.2,4.665,956.0,830.0,63.2,739.0,750.0,239.0,1390.0,338.5,1042.2,164.7,213.3,58.1,775.7,91.0,5.17,14.22,40.8,26.99,59.14,15.87,20.14,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,SO4,,199.0,2600.0,,1.92,663.0,14.3,187.0,31.2,61.4,240.0,115.0,115.0,34.0,13.5,9.0,22.0,11.0,18.4,25100.0,83.6,11.9,154.0,165.0,1660.0,18.9,249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,S,,,,,2.0,0.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Surfactants,,,,,0.084,0.207,0.216,0.29,0.1,0.34,25.5,83.4,55.1,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,°C,,,,,3.6,0.9,14.6,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Th,,,,,0.00161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Th-228,,,,,0.244,0.122,1.03,2.09,6.59,2.62,1.19,3.26,0.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Th-230,,,,,0.195,0.516,1.12,0.435,1.88,1.18,0.44,0.79,0.38,0.11,0.078,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Th-232,,,,,0.284,0.057,0.829,0.063,0.05,0.03,0.1,0.08,0.116,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,C7H8,,,,,0.00284,0.0643,0.0128,0.8,0.0012,0.0016,0.502,0.0598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,U,,,,,0.00101,0.0805,0.00161,0.000504,0.00162,0.000643,5.92,1.66,5.6,0.632,0.08,0.16,0.15,0.31,0.22,0.68,2.13,0.122,0.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,V,,3.44,4.4,4.51,0.0407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,C8H10,,,,,0.114,0.0725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Zn,1.0,1.45,2.04,0.02,0.203,0.137,0.282,0.188,0.113,0.164,0.271,0.241,0.589,0.234,0.273,0.396,0.04,0.09,0.12,0.08,0.1,14.0,0.049,4.61,0.044,8.66,0.0323,0.049,0.025,1.9,0.078,0.223,0.0754,0.0756,0.0756,0.0355,0.041,0.0427,22.0,0.0025,7.58,0.594,1.42,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Zr,,7.16,6.64,8.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26140412/,Ti,,1.4,1.44,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
