Source,Element,Concentration mg/L,Unnamed: 4,Unnamed: 5,Unnamed: 6
https://echo.epa.gov/trends/loading-tool/water-pollution-search_UT0000051,Zn,1.0271084732422002,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_IDG910007,Zn,0.7941197023133059,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0100218,Zn,0.6650794953985765,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AK0038652,Zn,0.6583495499496231,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0048952,Zn,0.6245690426687807,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0048119,Zn,0.6096467723405533,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_VA0090981,Zn,0.5693882205397912,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0001872,Zn,0.48312764982133116,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0001881,Zn,0.47208314908084964,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0043648,Zn,0.4627930291005291,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0001848,Zn,0.459618912072176,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MT0024716,Zn,0.42584064392052673,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_ID0025402,Zn,0.41523974724699453,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_ID0000175,Zn,0.40830048138988195,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0001244,Zn,0.3984102236827628,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0037206,Zn,0.34625516883376006,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_AK0049514,Zn,0.3375975214003564,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_ID0026468,Zn,0.3071919102945864,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0001856,Zn,0.2784526773188292,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0043168,Zn,0.2402673929955208,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CA0085332,Zn,0.21899748851164438,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0133221,Zn,0.20688867116039722,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_SC0040479,Zn,0.2034027300078603,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0000248,Zn,0.19052239873622465,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_MO0001121,Zn,0.16708789115503478,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_TN0057029,Zn,0.15889129107775923,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0022756,Zn,0.13306506787061276,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_ID0000027,Zn,0.12340010647526335,,,
https://echo.epa.gov/trends/loading-tool/water-pollution-search_CO0041467,Zn,0.11038038099210074,,,
