Source,Element,Concentration (mg/L),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
https://doi.org/10.2166/wqrj.2023.006,TDS,48000.0,15000.0,9000.0,20000.0,,
https://doi.org/10.2166/wqrj.2023.007,TDS,40000.0,10000.0,6200.0,16500.0,,
https://doi.org/10.2166/wqrj.2023.016,Cl,22500.0,4500.0,750.0,7750.0,,
https://doi.org/10.2166/wqrj.2023.018,S,,125.0,,90.0,,
https://doi.org/10.2166/wqrj.2023.022,Cr,,,45.0,140.0,,
https://doi.org/10.3389/fenvs.2021.721016,pH,7.2,,,,,
https://doi.org/10.3389/fenvs.2021.721021,COD,1185.5,,,,,
https://doi.org/10.3389/fenvs.2021.721023,TIN,29.61,,,,,
https://doi.org/10.3389/fenvs.2021.721034,Cr,11.73,,,,,
https://www.commissiemer.nl/docs/mer/diversen/bangladesh-eia-guidelines-assessment-effluent-treatment-plants2008.pdf,Cd,0.05,0.5,0.5,,,
https://www.commissiemer.nl/docs/mer/diversen/bangladesh-eia-guidelines-assessment-effluent-treatment-plants2008.pdf,Pb,0.1,0.1,0.1,,,
https://www.commissiemer.nl/docs/mer/diversen/bangladesh-eia-guidelines-assessment-effluent-treatment-plants2008.pdf,Cu,0.5,3.0,3.0,,,
https://www.commissiemer.nl/docs/mer/diversen/bangladesh-eia-guidelines-assessment-effluent-treatment-plants2008.pdf,Cr,0.6,2.0,2.0,,,
https://www.commissiemer.nl/docs/mer/diversen/bangladesh-eia-guidelines-assessment-effluent-treatment-plants2008.pdf,S,1.0,2.0,2.0,,,
https://www.commissiemer.nl/docs/mer/diversen/bangladesh-eia-guidelines-assessment-effluent-treatment-plants2008.pdf,Ni,1.0,1.0,1.0,,,
https://www.commissiemer.nl/docs/mer/diversen/bangladesh-eia-guidelines-assessment-effluent-treatment-plants2008.pdf,Fe,2.0,2.0,2.0,,,
https://www.commissiemer.nl/docs/mer/diversen/bangladesh-eia-guidelines-assessment-effluent-treatment-plants2008.pdf,Zn,5.0,10.0,10.0,,,
https://www.commissiemer.nl/docs/mer/diversen/bangladesh-eia-guidelines-assessment-effluent-treatment-plants2008.pdf,Mn,5.0,5.0,5.0,,,
https://www.commissiemer.nl/docs/mer/diversen/bangladesh-eia-guidelines-assessment-effluent-treatment-plants2008.pdf,pH,6.0,6.0,6.0,,,
https://www.commissiemer.nl/docs/mer/diversen/bangladesh-eia-guidelines-assessment-effluent-treatment-plants2008.pdf,pH,5.5,5.5,5.5,,,
https://www.commissiemer.nl/docs/mer/diversen/bangladesh-eia-guidelines-assessment-effluent-treatment-plants2008.pdf,P,8.0,8.0,10.0,,,
https://www.commissiemer.nl/docs/mer/diversen/bangladesh-eia-guidelines-assessment-effluent-treatment-plants2008.pdf,pH,9.0,9.0,9.0,,,
https://www.commissiemer.nl/docs/mer/diversen/bangladesh-eia-guidelines-assessment-effluent-treatment-plants2008.pdf,TIN,55.0,80.0,90.0,,,
https://www.commissiemer.nl/docs/mer/diversen/bangladesh-eia-guidelines-assessment-effluent-treatment-plants2008.pdf,COD,200.0,400.0,400.0,,,
https://www.commissiemer.nl/docs/mer/diversen/bangladesh-eia-guidelines-assessment-effluent-treatment-plants2008.pdf,Cl,600.0,600.0,600.0,,,
https://www.commissiemer.nl/docs/mer/diversen/bangladesh-eia-guidelines-assessment-effluent-treatment-plants2008.pdf,TDS,2100.0,2100.0,2100.0,,,
https://www.researchgate.net/profile/Muhammad_Nawaz18/publication/264231968_Effect_of_HRT_on_SBR_Performance_for_Treatability_of_Combined_Domestic_and_Textile_Wastewaters/links/53d2a4280cf228d363e94e03/Effect-of-HRT-on-SBR-Performance-for-Treatability-of-Combined-Domestic-and-Textile-Wastewaters.pdf,pH,8.5,,,,,
https://www.researchgate.net/profile/Muhammad_Nawaz18/publication/264231968_Effect_of_HRT_on_SBR_Performance_for_Treatability_of_Combined_Domestic_and_Textile_Wastewaters/links/53d2a4280cf228d363e94e03/Effect-of-HRT-on-SBR-Performance-for-Treatability-of-Combined-Domestic-and-Textile-Wastewaters.pdf,SO4,412.0,,,,,
https://www.researchgate.net/profile/Muhammad_Nawaz18/publication/264231968_Effect_of_HRT_on_SBR_Performance_for_Treatability_of_Combined_Domestic_and_Textile_Wastewaters/links/53d2a4280cf228d363e94e03/Effect-of-HRT-on-SBR-Performance-for-Treatability-of-Combined-Domestic-and-Textile-Wastewaters.pdf,COD,433.7,,,,,
https://www.researchgate.net/profile/Muhammad_Nawaz18/publication/264231968_Effect_of_HRT_on_SBR_Performance_for_Treatability_of_Combined_Domestic_and_Textile_Wastewaters/links/53d2a4280cf228d363e94e03/Effect-of-HRT-on-SBR-Performance-for-Treatability-of-Combined-Domestic-and-Textile-Wastewaters.pdf,Pb,456.0,,,,,
https://www.researchgate.net/profile/Muhammad_Nawaz18/publication/264231968_Effect_of_HRT_on_SBR_Performance_for_Treatability_of_Combined_Domestic_and_Textile_Wastewaters/links/53d2a4280cf228d363e94e03/Effect-of-HRT-on-SBR-Performance-for-Treatability-of-Combined-Domestic-and-Textile-Wastewaters.pdf,Cl,846.0,,,,,
https://www.researchgate.net/profile/Muhammad_Nawaz18/publication/264231968_Effect_of_HRT_on_SBR_Performance_for_Treatability_of_Combined_Domestic_and_Textile_Wastewaters/links/53d2a4280cf228d363e94e03/Effect-of-HRT-on-SBR-Performance-for-Treatability-of-Combined-Domestic-and-Textile-Wastewaters.pdf,TDS,2570.0,,,,,
https://doi.org/10.1016/j.watres.2014.03.064,Cr,0.21,0.08,0.25,0.11,,
https://doi.org/10.1016/j.watres.2014.03.064,Cd,0.27,0.11,0.14,0.1,,
https://doi.org/10.1016/j.watres.2014.03.064,Ni,2.0,2.4,1.1,2.7,,
https://doi.org/10.1016/j.watres.2014.03.064,Fe,3.3,1.6,2.7,2.9,,
https://doi.org/10.1016/j.watres.2014.03.064,P,10.08,11.15,9.32,19.02,,
https://doi.org/10.1016/j.watres.2014.03.064,pH,12.93,8.02,7.42,7.94,,
https://doi.org/10.1016/j.watres.2014.03.064,Mg,48.6,68.04,68.04,63.18,,
https://doi.org/10.1016/j.watres.2014.03.064,Ca,80.16,96.19,88.17,104.2,,
https://doi.org/10.1016/j.watres.2014.03.064,SO4,412.54,362.92,215.64,672.8,,
https://doi.org/10.1016/j.watres.2014.03.064,Cl,600.0,90.0,120.0,800.0,,
https://doi.org/10.1016/j.watres.2014.03.064,COD,813.0,532.0,320.0,925.0,,
https://doi.org/10.1016/j.watres.2014.03.064,K,858.0,975.0,624.0,1092.0,,
https://doi.org/10.1016/j.watres.2014.03.064,Na,1656.0,2944.0,3243.0,2852.0,,
https://doi.org/10.1016/j.watres.2014.03.064,TDS,4834.0,3252.0,2912.0,2976.0,,
https://doi.org/10.1016/j.jenvman.2018.07.057,Cd,0.88,,,,,
https://doi.org/10.1016/j.jenvman.2018.07.057,Al,2.5,,,,,
https://doi.org/10.1016/j.jenvman.2018.07.057,Ni,7.6,,,,,
https://doi.org/10.1016/j.jenvman.2018.07.057,pH,7.8,,,,,
https://doi.org/10.1016/j.jenvman.2018.07.057,Cr,9.7,,,,,
https://doi.org/10.1016/j.jenvman.2018.07.057,Fe,14.3,,,,,
https://doi.org/10.1016/j.jenvman.2018.07.057,P,16.4,,,,,
https://doi.org/10.1016/j.jenvman.2018.07.057,TIN,28.6,,,,,
https://doi.org/10.1016/j.jenvman.2018.07.057,Mg,65.0,,,,,
https://doi.org/10.1016/j.jenvman.2018.07.057,Ca,110.0,,,,,
https://doi.org/10.1016/j.jenvman.2018.07.057,K,242.0,,,,,
https://doi.org/10.1016/j.jenvman.2018.07.057,COD,493.0,,,,,
https://doi.org/10.1016/j.jenvman.2018.07.057,Cl,1382.0,,,,,
https://doi.org/10.1016/j.jenvman.2018.07.057,Na,1560.0,,,,,
https://doi.org/10.1016/j.jenvman.2018.07.057,TDS,5164.0,,,,,
https://doi.org/10.1016/j.cej.2009.03.023,Cd,0.88,,,,,
https://doi.org/10.1016/j.cej.2009.03.023,Ni,7.57,,,,,
https://doi.org/10.1016/j.cej.2009.03.023,pH,8.8,,,,,
